gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
UBXN1,-0.26976615,0.21943074295963882,0.669957421821765,1.2280432,ENSG00000162191
ESYT3,1.0916281,0.21979757693970214,0.6710211596821023,1.2270665,ENSG00000158220
ENSG00000278576,-0.037473414,0.21983172339143253,0.6710691408558721,1.2269757,ENSG00000278576
MRPS18A,-0.07133153,0.22005566663286846,0.6716964484396015,1.2263801,ENSG00000096080
HSD17B13,0.3024761,0.22009886094449138,0.6717719802775205,1.2262653,ENSG00000170509
SLIT2,-0.22842346,0.2202379784574795,0.6721402457123246,1.2258955,ENSG00000145147
SPIN4,0.37362924,0.2202655245553481,0.6721679752019222,1.2258223,ENSG00000186767
ENSG00000260495,-0.028079465,0.22082457860046412,0.6737610655270738,1.2243384,ENSG00000260495
LIN37,-0.10803936,0.2208940558993393,0.6739165784169873,1.2241542,ENSG00000267796
FAM120A2P,1.1610725,0.22092308872721067,0.6739486852157502,1.2240772,ENSG00000204352
KIRREL3-AS1,0.060551755,0.22096688111725127,0.6740258084310423,1.2239611,ENSG00000257271
CHPF,0.10560915,0.22103543822065397,0.6741784533833517,1.2237794,ENSG00000123989
ZNF600,0.11645795,0.2211154407780067,0.6743659795300092,1.2235675,ENSG00000189190
FOXO6,0.45109347,0.22136176933931617,0.6750606989265646,1.222915,ENSG00000204060
LRR1,0.6178979,0.22148286157844566,0.6753734156096108,1.2225946,ENSG00000165501
SEMA6C,0.18108259,0.22180250583589967,0.6762914790233444,1.2217492,ENSG00000143434
TRMT9B,-0.22643209,0.22184546828867158,0.6763658370030234,1.2216356,ENSG00000250305
